ArcGIS Data Store
https://enterprise.arcgis.com/en/data-store/latest/install/windows/uninstall-arcgis-data-store.htm
2024-11-27

12.0 {E62C9D19-53FE-45C2-B9C5-C86C7C703B8F}
11.5 {622B3833-6239-4857-96D5-4294D1E85F94}
10.6.1 {53160721-93D8-48F8-9EDD-038794AE756E}
10.6 {846636C1-53BB-459D-B66D-524F79E40396}
10.5.1 {75276C83-E88C-43F6-B481-100DA4D64F71}
10.5 {5EA81114-6FA7-4B4C-BD72-D1C882088AAC}
10.4.1 {A944E0A7-D268-41CA-B96E-8434457B051B}
10.4 {C351BC6D-BF25-487D-99AB-C963D590A8E8}
10.3.1 {F96FDD36-E3C7-44F1-9E2B-DFAFB9F8F876}
10.3 {273B8FDF-1D00-43D7-9599-67F03EE6114F}
11.4 {4AC2C588-DFDC-449E-8DFF-3701C3C3824A}
11.3 {E4FC0BED-0F94-49D4-9AF5-BBA64AED3787}
11.2 {A02634B0-03FD-4DF3-A5C6-BACBE5DF3979}
11.1 {391B3A39-0951-43E3-991D-82C82CA6E4A4}
11.0 {ABCEFF81-861D-482A-A20E-8542814C03BD}
10.9.1 {30BB3697-7815-406B-8F0C-EAAFB723AA97}
10.9 {7A7D3A39-DBC0-48E8-B2C2-3466A84FE89E}
10.8.1 {45E1C306-B1AB-4AE5-8435-818F0F9F8821}
10.8 {2018A7D8-CBE8-4BCF-AF0E-C9AAFB4C9B6D}
10.7.1 {112E5FD0-9DD2-45DA-ACD5-A21AA45F67E2}
10.7 {2B19AB45-1A17-45CD-8001-0608E8D72447}
