>call python -m cProfile -s time d:profile-arcpy-listFC.py

Looking in "X:\Env-dat.081\source\yt_courbe_niveau_imperial.gdb"
         43929 function calls (41929 primitive calls) in 2099.317 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 2072.454 2072.454 2072.454 2072.454 {built-in method listfeatureclasses}
      649   20.323    0.031   20.323    0.031 {setattr}
        1    2.711    2.711    2.713    2.713 _base.py:552(_refresh)
        1    2.710    2.710    2.710    2.710 {arcgisscripting.create}
        2    0.648    0.324    6.072    3.036 _base.py:14(<module>)
        3    0.036    0.012    6.689    2.230 __init__.py:15(<module>)
        1    0.030    0.030    0.391    0.391 toolbox.py:15(<module>)
        1    0.025    0.025    0.026    0.026 _ga.py:17(<module>)
        2    0.014    0.007    0.059    0.029 __init__.py:2(<module>)
        1    0.013    0.013    0.065    0.065 utils.py:15(<module>)
        1    0.011    0.011    0.033    0.033 mixins.py:15(<module>)
        1    0.010    0.010    0.012    0.012 __init__.py:24(<module>)
        1    0.009    0.009    0.188    0.188 __init__.py:106(<module>)
        1    0.009    0.009    0.009    0.009 shutil.py:5(<module>)
        3    0.009    0.003    0.101    0.034 __init__.py:1(<module>)
        1    0.009    0.009 2099.320 2099.320 profile-arcpy-listFC.py:1(<module>)
        1    0.009    0.009    0.214    0.214 _graph.py:16(<module>)
      271    0.008    0.000    0.011    0.000 function_base.py:3220(add_newdoc)
        1    0.008    0.008    0.010    0.010 polynomial.py:54(<module>)
        2    0.007    0.004    0.015    0.008 __init__.py:17(<module>)
   181/28    0.007    0.000    0.014    0.001 sre_parse.py:380(_parse)
       11    0.007    0.001    0.009    0.001 collections.py:282(namedtuple)
        1    0.007    0.007    0.009    0.009 numeric.py:1(<module>)
        1    0.006    0.006    0.007    0.007 collections.py:1(<module>)
        1    0.006    0.006    0.007    0.007 __init__.py:4(<module>)
        1    0.006    0.006    0.040    0.040 inspect.py:25(<module>)
        1    0.006    0.006    0.007    0.007 glob.py:1(<module>)
        1    0.006    0.006 2092.787 2092.787 profile-arcpy-listFC.py:6(arcpy_listFC)
        1    0.006    0.006    0.007    0.007 chebyshev.py:87(<module>)
        1    0.006    0.006    0.007    0.007 laguerre.py:59(<module>)
        1    0.006    0.006    0.007    0.007 ElementTree.py:59(<module>)
        1    0.005    0.005    0.007    0.007 legendre.py:83(<module>)
       89    0.005    0.000    0.005    0.000 {nt.stat}
        6    0.005    0.001    0.006    0.001 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.005    0.005    0.006    0.006 hermite_e.py:59(<module>)
        1    0.005    0.005    0.006    0.006 hermite.py:59(<module>)
        1    0.005    0.005    0.027    0.027 __init__.py:6(<module>)
        1    0.005    0.005    0.006    0.006 case.py:1(<module>)
        1    0.005    0.005    0.006    0.006 result.py:1(<module>)
   373/26    0.005    0.000    0.014    0.001 sre_compile.py:33(_compile)
        1    0.005    0.005    0.016    0.016 uuid.py:45(<module>)
      141    0.004    0.000    0.007    0.000 sre_compile.py:208(_optimize_charset)
        1    0.004    0.004    0.019    0.019 __init__.py:45(<module>)
        1    0.004    0.004    0.013    0.013 _datasource.py:33(<module>)
        2    0.003    0.002    0.003    0.002 {built-in method listenvironments}
        1    0.003    0.003    0.008    0.008 __init__.py:38(<module>)
        1    0.003    0.003    0.003    0.003 arrayterator.py:9(<module>)
